,symbol,common_name,scientific_name,species,state_and_province,category,family,family_common_name,duration,growth_habit,native_status,invasive,active_growth_period,after_harvest_regrowth_rate,fall_conspicuous,fire_resistance,flower_color,flower_conspicuous,foliage_color,fruit_conspicuous,growth_form,growth_rate,height_at_base_age_maximum_feet,height_mature_feet,leaf_retention,lifespan,resprout_ability,shape_and_orientation,toxicity,adapted_to_coarse_textured_soils,adapted_to_medium_textured_soils,adapted_to_fine_textured_soils,anaerobic_tolerance,cacosub3sub_tolerance,cold_stratification_required,drought_tolerance,fertility_requirement,fire_tolerance,frost_free_days_minimum,hedge_tolerance,moisture_use,ph_minimum,ph_maximum,planting_density_per_acre_minimum,planting_density_per_acre_maximum,precipitation_minimum,precipitation_maximum,root_depth_minimum_inches,salinity_tolerance,shade_tolerance,temperature_minimum_f,bloom_period,commercial_availability,fruitseed_abundance,fruitseed_period_begin,fruitseed_period_end,fruitseed_persistence,propogated_by_bare_root,propogated_by_bulbs,propogated_by_container,propogated_by_corms,propogated_by_cuttings,propogated_by_seed,propogated_by_sod,propogated_by_sprigs,propogated_by_tubers,seeds_per_pound,seed_spread_rate,seedling_vigor,small_grain,vegetative_spread_rate,berrynutseed_product,christmas_tree_product,fodder_product,fuelwood_product,lumber_product,naval_store_product,nursery_stock_product,palatable_browse_animal,palatable_graze_animal,palatable_human,post_product,protein_potential,pulpwood_product,veneer_product
21,ABBA,balsam fir,Abies balsamea,balsamea,"USA (CT, IA, IN, MA, MD, ME, MI, MN, NH, NJ, NY, OH, PA, RI, VA, VT, WI, WV), CAN (AB, LB, MB, NB, NF, NS, ON, PE, QC, SK), FRA (SPM)",Gymnosperm,Pinaceae,Pine family,Perennial,Tree,"L48 (N), CAN (N), SPM (N)",,Spring and Summer,,No,No,Yellow,No,Green,No,Single Stem,Slow,18,60,Yes,Short,No,Conical,None,Yes,Yes,Yes,None,Low,Yes,Low,Medium,Low,80,Low,Medium,4,6,300,1200,13,60,20,None,Tolerant,-43,Mid Summer,Routinely Available,Medium,Fall,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,59840,Slow,Low,No,None,No,Yes,No,Low,Yes,Yes,Yes,Medium,,No,No,Low,Yes,Yes
40,ABCO,white fir,Abies concolor,concolor,"USA (AZ, CO, ID, MA, ME, NM, NV, OR, UT, WY)",Gymnosperm,Pinaceae,Pine family,Perennial,Tree,L48 (N),,Spring and Summer,,No,No,Red,No,Green,No,Single Stem,Slow,20,120,Yes,Long,No,Conical,None,Yes,Yes,No,None,Low,Yes,Medium,Medium,Medium,80,Low,Medium,5.5,7.8,300,1200,18,80,40,None,Intermediate,-38,Late Spring,Routinely Available,Medium,Summer,Fall,No,Yes,No,Yes,No,Yes,Yes,No,No,No,15920,Moderate,Medium,No,None,No,Yes,No,Low,Yes,No,Yes,Low,,No,No,Low,Yes,Yes
55,ABFR,Fraser fir,Abies fraseri,fraseri,"USA (GA, NC, TN, VA)",Gymnosperm,Pinaceae,Pine family,Perennial,Tree,L48 (N),,Spring and Summer,,No,No,Purple,No,Dark Green,Yes,Single Stem,Moderate,20,55,Yes,Moderate,Yes,Erect,None,Yes,Yes,No,Low,Low,No,Low,Low,Low,90,Low,Medium,3.5,5.5,435,1200,45,100,6,Low,Tolerant,-23,Mid Spring,Routinely Available,Medium,Spring,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,60800,Slow,Medium,No,None,No,Yes,No,Low,No,No,Yes,Low,,No,No,Low,Yes,Yes
62,ABGR,grand fir,Abies grandis,grandis,"USA (CA, ID, MT, OR, WA), CAN (BC)",Gymnosperm,Pinaceae,Pine family,Perennial,Tree,"L48 (N), CAN (N)",,Spring and Summer,,No,Yes,,No,Green,No,Single Stem,Moderate,25,150,Yes,Long,No,Conical,None,Yes,Yes,No,Low,Low,Yes,Medium,Medium,High,60,Low,Medium,4.5,7.5,300,1200,11,100,20,None,Tolerant,-33,Late Spring,Field Collections Only,Medium,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,23200,Slow,Low,No,None,No,Yes,No,Low,Yes,No,Yes,Low,,No,No,Low,Yes,Yes
65,ABGR4,glossy abelia,Abelia grandiflora,grandiflora,"USA (FL, NC)",Dicot,Caprifoliaceae,Honeysuckle family,Perennial,Shrub,L48 (I),,Spring and Summer,,Yes,No,Purple,Yes,Dark Green,No,Multiple Stem,Rapid,6,6,Yes,Moderate,Yes,Semi-Erect,None,Yes,Yes,No,None,Medium,No,Medium,Medium,Low,150,High,Medium,5.7,7,1200,1700,28,60,12,Low,Tolerant,-13,Late Summer,Routinely Available,None,Summer,Fall,No,Yes,No,Yes,No,Yes,No,No,No,No,,None,,No,None,No,No,No,,No,No,Yes,Low,,No,No,Low,No,No
85,ABLA,subalpine fir,Abies lasiocarpa,lasiocarpa,"USA (AK, AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY), CAN (AB, BC, NT, YT)",Gymnosperm,Pinaceae,Pine family,Perennial,Tree,"L48 (N), AK (N), CAN (N)",,Spring and Summer,,No,No,,No,Green,No,Single Stem,Slow,15,90,Yes,Long,No,Conical,None,Yes,Yes,No,None,Low,Yes,Low,Medium,Low,120,Low,Medium,4,6.5,300,1200,20,150,40,None,Tolerant,-51,Late Spring,Routinely Available,Medium,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,37440,Slow,Low,No,None,No,Yes,No,Low,Yes,No,Yes,Low,,No,No,Low,Yes,No
93,ABMA,California red fir,Abies magnifica,magnifica,"USA (CA, NV, NY, OR)",Gymnosperm,Pinaceae,Pine family,Perennial,Tree,L48 (N),,Spring and Summer,,No,Yes,Brown,No,Dark Green,Yes,Single Stem,Slow,35,150,Yes,Long,No,Erect,None,Yes,Yes,No,None,Low,Yes,Low,Low,Low,90,Low,Medium,5,6.1,430,1200,33,64,20,Low,Tolerant,-23,Late Spring,Contracting Only,High,Summer,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,5680,Slow,Medium,No,None,No,Yes,No,Low,Yes,No,Yes,Low,Low,No,No,Low,Yes,Yes
137,ABPR,noble fir,Abies procera,procera,"USA (CA, OR, WA)",Gymnosperm,Pinaceae,Pine family,Perennial,Tree,L48 (N),,Spring and Summer,,No,No,,No,Dark Green,Yes,Single Stem,Rapid,25,230,Yes,Long,No,Erect,None,Yes,Yes,No,None,Low,Yes,Low,Low,Low,50,Low,Low,6,7.5,430,1200,64,120,20,None,Intermediate,-23,Late Spring,Contracting Only,Low,Spring,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,14640,Slow,Low,No,None,No,Yes,No,Medium,Yes,No,Yes,Low,Low,No,No,Low,Yes,Yes
358,ACCA4,calamus,Acorus calamus,calamus,"USA (AL, AR, CA, CO, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, VA, VT, WA, WI, WV), CAN (MB, NB, NS, ON, PE, QC)",Monocot,Acoraceae,Calamus family,Perennial,Forb/herb,"L48 (I), CAN (I)",,Spring and Summer,Moderate,No,No,Yellow,No,Green,No,Rhizomatous,Moderate,,5,No,Moderate,No,Semi-Erect,None,Yes,Yes,No,High,Medium,No,None,Medium,High,90,None,High,5.2,7.2,2700,4850,32,60,12,Low,Intolerant,-38,Late Spring,Routinely Available,Low,Summer,Summer,No,Yes,No,Yes,No,No,No,No,Yes,No,498454,None,Low,No,Moderate,No,No,No,,No,No,Yes,Low,Low,No,No,Low,No,No
399,ACCO2,whitethorn acacia,Acacia constricta,constricta,"USA (AZ, MD, NM, TX, VA)",Dicot,Fabaceae,Pea family,Perennial,"Tree, Shrub",L48 (N),,Spring and Summer,,No,No,Yellow,Yes,Green,Yes,Multiple Stem,Slow,6,9,No,Moderate,Yes,Erect,Slight,Yes,Yes,No,None,High,No,High,Low,High,250,High,Low,7,8.5,300,700,4,20,12,Medium,Intolerant,-13,Late Spring,Field Collections Only,High,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,23811,Moderate,High,No,None,No,No,No,,No,No,No,Low,,Yes,No,Medium,No,No
